name	taxid
Aster yellows	322098
Blochmannia endosymbiont of Camponotus Colobopsis obliquus 757	1505597
Blochmannia endosymbiont of Polyrhachis Hedomyrma turneri 675	1505596
Frankia symbiont	2716812
Onion yellows	262768
Uromyces viciae	55588
Wolbachia endosymbiont of Cimex lectularius wCle	246273
Wolbachia endosymbiont of Culex quinquefasciatus Pel wPip	570417
Wolbachia endosymbiont of Drosophila melanogaster wMel	163164
Wolbachia endosymbiont of Onchocerca ochengi wOo	100901
candidate division SR1 bacterium RAAC1 SR1 1	1394709
candidate division WWE3 bacterium RAAC2 WWE3 1	1394710
Candidatus Nitrosopumilus sp. AR2	1229909
Candidatus Nitrosopumilus sp. D3C	338191
Candidatus Nitrosopumilus sp. NF5	338191
Sneathia sp.	2776143
Candidatus Saccharibacteria bacterium	2026720
Cycloclasticus sp.	2024830
Paracoccidioides sp.	1939674
Jeotgalicoccus sp.	1871619
Saccharomycetaceae sp.	1769366
Candidatus Methanoplasma termitum	1577791
Sphingomonas taxi	1549858
Thermococcus eurythermalis	1505907
Martelella endophytica	1486262
Talaromyces cellulolyticus	1472165
Candidatus Phaeomarinobacter ectocarpi	1458461
Marinobacter salarius	1420917
Marinobacter similis	1420916
Methyloceanibacter caenitepidi	1384459
Spirosoma radiotolerans	1379870
Dyella jiangningensis	1379159
Bradyrhizobium diazoefficiens	1355477
Candidatus Mycoplasma girerdii	1318617
Salinispira pacifica	1307761
Frischella perrara	1267021
Borrelia chilensis	1245910
Lachancea lanzarotensis	1245769
Campylobacter iguaniorum	1244531
Sodalis praecaptivus	1239307
Candidatus Pantoea carbekii	1235990
Celeribacter indicus	1208324
Gilliamella apicola	1196095
Draconibacterium orientale	1168034
Ruminococcus bicirculans	1160721
Ustilaginoidea virens	1159556
Lysinibacillus varians	1145276
Homoloaphlyctis polyrhiza	1142505
Klebsiella michiganensis	1134687
Paenibacillus beijingensis	1126833
Thiolapillus brandeum	1076588
Pantoea rwandensis	1076550
Aspergillus kawachii	1069201
Thioalkalivibrio sulfidiphilus	1033854
Exophiala sideris	1016849
Pseudomonas brassicacearum	930166
Methanobacterium lacus	877455
Methanobacterium paludis	868131
Weissella ceti	759620
Methylophaga frappieri	754477
Methylophaga nitratireducenticrescens	754476
Sulfuritalea hydrogenivorans	748811
Marssonina brunnea	698440
Candidatus Babela massiliensis	673862
Candidatus Profftella armatura	669502
Rhodanobacter denitrificans	666685
Pandoraea vervacti	656178
Fretibacterium fastidiosum	651822
Francisella guangzhouensis	594679
Alteromonas australica	589873
Pseudomonas chlororaphis	587753
Terribacillus aidingensis	586416
Polynucleobacter necessarius	576610
Pandoraea oxalativorans	573737
Candidatus Hodgkinia cicadicola	573658
Cladophialophora immunda	569365
Geoglobus acetivorans	565033
Rhodoluna lacicola	529884
Muricauda lutaonensis	516051
Thermoanaerobacter pseudethanolicus	496866
Bacillus methylotrophicus	492670
Geoalkalibacter subterraneus	483547
Burkholderia lata	482957
Myroides profundi	480520
Gordonibacter pamelaeae	471189
Rhizoctonia solani	456999
Niabella soli	446683
Thiomonas arsenitoxydans	426114
Corynebacterium ureicelerivorans	401472
Pontibacter korlensis	400092
Zunongwangia profunda	398743
Barnesiella viscericola	397865
Algoriphagus machipongonensis	388413
Yersinia similis	367190
Endocarpon pusillum	364733
Streptomyces vietnamensis	362257
Exophiala xenobiotica	348802
Geobacter pickeringii	345632
Candidatus Sulcia muelleri	336810
Pseudomonas simiae	321846
Magnaporthe oryzae	318829
Pseudoxanthomonas suwonensis	314722
Haloquadratum walsbyi	293091
Pyrenochaeta lycopersici	285811
Collimonas arenae	279058
Nostoc punctiforme	272131
Verruconis gallopava	253628
Klebsiella variicola	244366
Pseudomonas alkylphenolia	237609
Treponema putidum	221027
Bifidobacterium longum	216816
Stenotrophomonas rhizophila	216778
Pseudomonas rhizosphaerae	216142
Sphaerulina populicola	215467
Exophiala oligosperma	215243
Halomonas campaniensis	213554
Exophiala mesophila	212818
Amycolatopsis japonica	208439
Thermococcus nautili	195522
Rhodoferax ferrireducens	192843
Corynebacterium atypicum	191610
Vibrio coralliilyticus	190893
Paenibacillus odorifer	189426
Paenibacillus graminis	189425
Thermococcus gammatolerans	187878
Candidatus Baumannia cicadellinicola	186490
Paenibacillus stellifer	169760
Cupriavidus taiwanensis	164546
Corynebacterium singulare	161899
Corynebacterium camporealensis	161896
Paenibacillus borealis	160799
Roseibacterium elongatum	159346
Cedecea neteri	158822
Pseudomonas cremoricolorata	157783
Pseudomonas parafulva	157782
Corynebacterium imitans	156978
Salinibacter ruber	146919
Rathayibacter toxicus	145458
Desulfitobacterium metallireducens	142877
Serratia symbiotica	138074
Candidatus Hamiltonella defensa	138072
Ureaplasma parvum	134821
Burkholderia fungorum	134537
Leisingera methylohalidivorans	133924
Exiguobacterium antarcticum	132920
Brucella pinnipedialis	120576
Nilaparvata lugens	108931
Corynebacterium falsenii	108486
Valsa mali	105487
Ralstonia mannitolilytica	105219
Fusarium pseudograminearum	101028
Flavobacterium psychrophilum	96345
Burkholderia cenocepacia	95486
Pandoraea sputorum	93222
Pandoraea pulmonicola	93221
Pandoraea pnomenusa	93220
Pandoraea apista	93218
Exophiala spinifera	91928
Candidatus Portiera aleyrodidarum	91844
Mucor ambiguus	91626
Burkholderia multivorans	87883
Umbilicaria muehlenbergii	87280
Mycoplasma dispar	86660
Bartonella tribocorum	85701
Pseudozyma antarctica	84753
Methanoculleus bourgensis	83986
Chlamydia muridarum	83560
Chlamydophila abortus	83555
Serratia plymuthica	82996
Phlebiopsis gigantea	82310
Phlebopus portentosus	80661
Sclerotinia borealis	77105
Mannheimia haemolytica	75985
Thermocrinis ruber	75906
Pseudomonas balearica	74829
Kocuria rhizophila	72000
Pseudomonas plecoglossicida	70775
Candidatus Phytoplasma solani	69896
Cupriavidus basilensis	68895
Streptomyces albulus	68570
Streptomyces cyaneogriseus	68192
Corynebacterium ulcerans	65058
Sodalis glossinidius	63612
Zobellia galactanivorans	63186
Pluralibacter gergoviae	61647
Acholeplasma brassicae	61635
Halogeometricum borinquense	60847
Actinobaculum schaalii	59505
Burkholderia thailandensis	57975
Deinococcus swuensis	57497
Xanthomonas sacchari	56458
Vibrio anguillarum	55601
Dehalobacter restrictus	55583
Raoultella ornithinolytica	54291
Enterococcus mundtii	53346
Haloarcula hispanica	51589
Sporisorium scitamineum	49012
Lactobacillus rhamnosus	47715
Borrelia miyamotoi	47466
Mycoplasma conjunctivae	45361
Paenibacillus durus	44251
Metallosphaera sedula	43687
Arthrobacter aurescens	43663
Rickettsia felis	42862
Rubrobacter radiotolerans	42256
Ureaplasma diversum	42094
Xenorhabdus bovienii	40576
Leptotrichia buccalis	40542
Stenotrophomonas maltophilia	40324
Streptomyces nodosus	40318
Oligotropha carboxidovorans	40137
Bartonella henselae	38323
Rhodococcus opacus	37919
Marichromatium purpuratum	37487
Nocardia brasiliensis	37326
Brucella canis	36855
Mycobacterium abscessus	36809
Clostridium saccharoperbutylacetonicum	36745
Corynebacterium kutscheri	35755
Parasitella parasitica	35722
Heliobacterium modesticaldum	35701
Geobacter sulfurreducens	35554
Blattabacterium sp.	34099
Rhodospirillum centenum	34018
Gluconacetobacter diazotrophicus	33996
Geobacillus thermoleovorans	33941
Parvimonas micra	33033
Halothermothrix orenii	31909
Mrakia frigida	29902
Mycoplasma meleagridis	29561
Mycoplasma canadense	29554
Yersinia ruckeri	29486
Yersinia rohdei	29485
Pectobacterium atrosepticum	29471
Brucella suis	29461
Brucella melitensis	29459
Pseudomonas savastanoi	29438
Legionella oakridgensis	29423
Salmonella enterica	28901
Burkholderia pseudomallei	28450
Clavibacter michiganensis	28447
Colwellia psychrerythraea	28229
Vibrio nigripulchritudo	28173
Yersinia kristensenii	28152
Cronobacter sakazakii	28141
Odoribacter splanchnicus	28118
Francisella philomiragia	28110
Alteromonas macleodii	28108
